Scientific Colour Map Categorical Palette
imola 100 scrambled Swatches
 26  51 179	imola-1 #1A33B3
255 255 102	imola-256 #FFFF66
 84 134 127	imola-129 #54867F
 48  94 157	imola-65 #305E9D
145 195 111	imola-192 #91C36F
 63 113 142	imola-97 #3F718E
 37  73 168	imola-33 #2549A8
189 230 103	imola-224 #BDE667
112 163 119	imola-160 #70A377
 43  83 162	imola-49 #2B53A2
 55 104 150	imola-81 #376896
128 179 115	imola-176 #80B373
163 213 107	imola-208 #A3D56B
221 244 102	imola-240 #DDF466
 32  62 173	imola-17 #203EAD
 72 123 134	imola-113 #487B86
 98 148 122	imola-145 #62947A
 45  89 160	imola-57 #2D59A0
136 187 113	imola-184 #88BB71
 91 141 125	imola-137 #5B8D7D
205 237 102	imola-232 #CDED66
 78 128 130	imola-121 #4E8082
238 249 102	imola-248 #EEF966
 51  99 154	imola-73 #33639A
 40  78 165	imola-41 #284EA5
 68 118 138	imola-105 #44768A
 35  68 170	imola-25 #2344AA
175 222 105	imola-216 #AFDE69
 59 108 146	imola-89 #3B6C92
120 171 117	imola-168 #78AB75
 29  57 176	imola-9 #1D39B0
153 204 109	imola-200 #99CC6D
105 156 121	imola-153 #699C79
 61 111 144	imola-93 #3D6F90
 44  86 161	imola-53 #2C56A1
 47  91 158	imola-61 #2F5B9E
 94 145 123	imola-141 #5E917B
 75 125 132	imola-117 #4B7D84
158 208 108	imola-204 #9ED06C
 31  60 174	imola-13 #1F3CAE
196 234 103	imola-228 #C4EA67
132 183 114	imola-180 #84B772
 39  76 166	imola-37 #274CA6
213 240 102	imola-236 #D5F066
 41  81 164	imola-45 #2951A4
116 167 118	imola-164 #74A776
 87 138 126	imola-133 #578A7E
 36  70 169	imola-29 #2446A9
 28  54 177	imola-5 #1C36B1
169 217 106	imola-212 #A9D96A
149 200 110	imola-196 #95C86E
 70 120 136	imola-109 #467888
 33  65 172	imola-21 #2141AC
124 175 116	imola-172 #7CAF74
 53 101 152	imola-77 #356598
181 226 104	imola-220 #B5E268
102 152 122	imola-149 #66987A
 57 106 148	imola-85 #396A94
247 252 102	imola-252 #F7FC66
140 191 112	imola-188 #8CBF70
230 246 102	imola-244 #E6F666
 50  96 155	imola-69 #32609B
 81 131 128	imola-125 #518380
 65 115 140	imola-101 #41738C
109 160 120	imola-157 #6DA078
107 158 120	imola-155 #6B9E78
185 228 104	imola-222 #B9E468
122 173 116	imola-170 #7AAD74
 82 133 128	imola-127 #528580
 50  98 155	imola-71 #32629B
134 185 113	imola-182 #86B971
 60 110 145	imola-91 #3C6E91
 92 143 124	imola-139 #5C8F7C
200 235 103	imola-230 #C8EB67
172 219 105	imola-214 #ACDB69
209 239 102	imola-234 #D1EF66
226 245 102	imola-242 #E2F566
151 202 109	imola-198 #97CA6D
 27  53 178	imola-3 #1B35B2
 28  55 176	imola-7 #1C37B0
 35  69 170	imola-27 #2345AA
 47  93 158	imola-63 #2F5D9E
 31  61 174	imola-15 #1F3DAE
 69 119 137	imola-107 #457789
 58 107 147	imola-87 #3A6B93
 89 139 125	imola-135 #598B7D
217 242 102	imola-238 #D9F266
 52 100 153	imola-75 #346499
 56 105 149	imola-83 #386995
166 215 106	imola-210 #A6D76A
 54 103 151	imola-79 #366797
 39  77 166	imola-39 #274DA6
 86 136 126	imola-131 #56887E
161 211 107	imola-206 #A1D36B
 66 116 139	imola-103 #42748B
126 177 115	imola-174 #7EB173
114 165 118	imola-162 #72A576
 71 121 135	imola-111 #477987
 76 127 131	imola-119 #4C7F83
242 251 102	imola-250 #F2FB66
